instrument,class,adduct,fragment,ParKey,ParValue
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 268.2963,sdlog,0.046079387
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 268.2963,shift,250
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 268.2963,meanlog,2.930979508
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 268.2963,model,dlnormPar
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 268.2963,scale,0.0575506
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 268.2963,sdlog,0.436893654
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 268.2963,shift,1.927038006
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 312.2862,meanlog,5.586497805
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 312.2862,model,dlnormPar
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 312.2862,scale,0.109250277
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 312.2862,sdlog,0.044861203
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 312.2862,shift,250
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 312.2862,meanlog,2.26191569
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 312.2862,model,dlnormPar
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 312.2862,scale,0.048851366
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 312.2862,sdlog,0.658855102
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 312.2862,shift,-4.799769656
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 59.0139,meanlog,4.577872894
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 59.0139,model,dlnormPar
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 59.0139,scale,0.371758243
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 59.0139,sdlog,0.224252519
MS:1002523,11(12)-EET{d11},[M-H]1-,m/z 59.0139,shift,28.86008115
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 59.0139,meanlog,4.499037514
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 59.0139,model,dlnormPar
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 59.0139,scale,0.965353784
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 59.0139,sdlog,1.119650918
MS:1002791,11(12)-EET{d11},[M-H]1-,m/z 59.0139,shift,-14.77884876
MS:1002523,11(12)-EET{d11},[M-H]1-,precursor,meanlog,2.758436944
MS:1002523,11(12)-EET{d11},[M-H]1-,precursor,model,dlnormPar
MS:1002523,11(12)-EET{d11},[M-H]1-,precursor,scale,0.715777242
MS:1002523,11(12)-EET{d11},[M-H]1-,precursor,sdlog,0.456501667
MS:1002523,11(12)-EET{d11},[M-H]1-,precursor,shift,0.709491619
MS:1002791,11(12)-EET{d11},[M-H]1-,precursor,meanlog,1.988407799
MS:1002791,11(12)-EET{d11},[M-H]1-,precursor,model,dlnormPar
MS:1002791,11(12)-EET{d11},[M-H]1-,precursor,scale,0.394128707
MS:1002791,11(12)-EET{d11},[M-H]1-,precursor,sdlog,0.54421004
MS:1002791,11(12)-EET{d11},[M-H]1-,precursor,shift,-2.16508864
MS:1002523,"11,12-DHET",[M-H]1-,m/z 149.0973,meanlog,4.663643365
MS:1002523,"11,12-DHET",[M-H]1-,m/z 149.0973,model,dlnormPar
MS:1002523,"11,12-DHET",[M-H]1-,m/z 149.0973,scale,0.062509608
MS:1002523,"11,12-DHET",[M-H]1-,m/z 149.0973,sdlog,0.146406737
MS:1002523,"11,12-DHET",[M-H]1-,m/z 149.0973,shift,48.90101078
MS:1002791,"11,12-DHET",[M-H]1-,m/z 149.0973,meanlog,3.942506812
MS:1002791,"11,12-DHET",[M-H]1-,m/z 149.0973,model,dlnormPar
MS:1002791,"11,12-DHET",[M-H]1-,m/z 149.0973,scale,0.04429568
MS:1002791,"11,12-DHET",[M-H]1-,m/z 149.0973,sdlog,0.323307168
